date,units_consumed,temp,humidity
2022-01-01,140,21,62
2022-02-01,170,23,58
2022-03-01,200,27,52
2022-04-01,330,34,48
2022-05-01,370,39,42
2022-06-01,350,37,44
2022-07-01,310,33,72
2022-08-01,290,31,78
2022-09-01,260,30,72
2022-10-01,230,29,62
2022-11-01,190,26,58
2022-12-01,155,21,52
2023-01-01,150,22,60
2023-02-01,180,24,55
2023-03-01,210,28,50
2023-04-01,350,35,45
2023-05-01,380,38,40
2023-06-01,360,36,45
2023-07-01,300,32,70
2023-08-01,280,30,75
2023-09-01,250,29,70
2023-10-01,220,28,60
2023-11-01,180,25,55
2023-12-01,160,20,50
